,id,rr,rg,rb,rc,value
0,N1,131,176,162,500,72.0
1,N5,116,166,155,467,56.9
2,N6,130,160,175,497,66.5
3,X07,177,210,181,601,98.6
4,X11,122,173,161,487,64.5
5,X12,124,175,163,494,59.3
6,X14,122,172,161,486,56.1
7,R1,192,216,183,625,108.2
8,R1,192,216,183,625,105.4
9,R4,165,198,174,570,93.9
10,R6,157,192,170,549,83.7
11,B5,144,183,164,524,87.1
12,B7,162,196,172,562,91.9
13,B8,158,191,168,549,94.2
