,id,rr,rg,rb,rc,value
0,N1,123,175,170,510,72.0
1,N2,166,204,188,603,90.2
2,N3,117,172,169,501,62.4
3,N5,117,173,170,503,56.9
4,X11,179,212,191,628,64.5
5,X12,131,184,176,534,59.3
6,R1,214,235,199,698,108.2
7,R1,214,235,199,698,105.4
8,R4,157,196,181,579,93.9
9,B5,163,200,183,591,87.1
10,B6,160,199,182,586,87.0
11,B7,158,199,181,583,91.9
12,B8,178,210,188,623,94.2
13,B9,157,197,181,579,83.4
