N1,77,116,104,315
N2,112,140,119,391
N3,75,115,104,313
N5,77,117,106,320
N6,87,124,110,340
N7,101,133,115,369
N9,122,147,122,412
N10,136,158,129,443
X10,98,134,116,369
X11,119,145,121,405
X12,82,122,109,333
X13,83,124,111,337
R4,111,139,118,389
R6,108,138,118,384
B3,109,137,116,382
B5,107,136,115,379
B7,116,144,120,401
B8,114,141,118,394
